Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,
Acidaminococcus fermentans DSM 20731 (591001.3),Acidaminococcus fermentans DSM 20731 ,591001,591001.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus, Acidaminococcus fermentans, Acidaminococcus fermentans DSM 20731,
Acidaminococcus intestini RyC-MR95 (568816.4),Acidaminococcus intestini RyC-MR95 ,568816,568816.4,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus, Acidaminococcus intestini, Acidaminococcus intestini RyC-MR95,
Acidaminococcus sp. D21 (563191.3),Acidaminococcus sp. D21 ,563191,563191.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,-, Acidaminococcus sp. D21,
Acidaminococcus sp. HPA0509 (1203555.3),Acidaminococcus sp. HPA0509 ,1203555,1203555.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,-, Acidaminococcus sp. HPA0509,
Acidaminococcus sp. Marseille-P4266 (2058289.3),Acidaminococcus sp. Marseille-P4266,2058289,2058289.3,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus provencensis,,Bacteria; Terrabacteria group; Firmicutes; Negativicutes; Acidaminococcales; Acidaminococcaceae; Acidaminococcus; Acidaminococcus provencensis
Acinetobacter baumannii 1656-2 (696749.3),Acinetobacter baumannii 1656-2 ,696749,696749.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 1656-2,
Acinetobacter baumannii AB0057 (480119.5),Acinetobacter baumannii AB0057 ,480119,480119.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii AB0057,
Acinetobacter baumannii AB307-0294 (557600.4),Acinetobacter baumannii AB307-0294 ,557600,557600.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii AB307-0294,
Acinetobacter baumannii ACICU (405416.6),Acinetobacter baumannii ACICU ,405416,405416.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii ACICU,
Acinetobacter baumannii ATCC 17978 (400667.7),Acinetobacter baumannii ATCC 17978 ,400667,400667.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii ATCC 17978,
Acinetobacter baumannii ATCC 19606 (575584.3),Acinetobacter baumannii ATCC 19606 ,575584,575584.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,
Acinetobacter baumannii AYE (509173.8),Acinetobacter baumannii AYE ,509173,509173.8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii AYE,
Acinetobacter baumannii Canada BC-5 (903895.3),Acinetobacter baumannii Canada BC-5 ,903895,903895.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii Canada BC-5,
Acinetobacter baumannii LAC-4 (1455315.5),Acinetobacter baumannii LAC-4 ,1455315,1455315.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii LAC-4,
Acinetobacter baumannii MDR-TJ (889738.3),Acinetobacter baumannii MDR-TJ ,889738,889738.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii MDR-TJ,
Acinetobacter baumannii MDR-ZJ06 (497978.4),Acinetobacter baumannii MDR-ZJ06 ,497978,497978.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii MDR-ZJ06,
Acinetobacter baumannii OIFC137 (903889.3),Acinetobacter baumannii OIFC137 ,903889,903889.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii OIFC137,
Acinetobacter baumannii OIFC143 (903893.3),Acinetobacter baumannii OIFC143 ,903893,903893.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii OIFC143,
Acinetobacter baumannii SDF (509170.6),Acinetobacter baumannii SDF ,509170,509170.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii SDF,
Acinetobacter baumannii strain AB31 (470.1294),Acinetobacter baumannii strain AB31 ,470,470.1294,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii,,
Acinetobacter baumannii strain AC29 (470.1288),Acinetobacter baumannii strain AC29 ,470,470.1288,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii,,
Acinetobacter baumannii TCDC-AB0715 (980514.3),Acinetobacter baumannii TCDC-AB0715 ,980514,980514.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii TCDC-AB0715,
Acinetobacter baumannii TYTH-1 (1100841.3),Acinetobacter baumannii TYTH-1 ,1100841,1100841.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii TYTH-1,
Acinetobacter baumannii WC-141 (903915.3),Acinetobacter baumannii WC-141 ,903915,903915.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-, Acinetobacter sp. WC-141,
Acinetobacter calcoaceticus ANC 3680 (1217653.3),Acinetobacter calcoaceticus ANC 3680 ,1217653,1217653.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus ANC 3680,
Acinetobacter calcoaceticus ANC 3811 (1217690.3),Acinetobacter calcoaceticus ANC 3811 ,1217690,1217690.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus ANC 3811,
Acinetobacter calcoaceticus DSM 30006 = CIP 81.8 (981331.5),Acinetobacter calcoaceticus DSM 30006 = CIP 81.8 ,981331,981331.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus DSM 30006 = CIP 81.8,
Acinetobacter calcoaceticus NIPH 13 (1217654.3),Acinetobacter calcoaceticus NIPH 13 ,1217654,1217654.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus NIPH 13,
Acinetobacter calcoaceticus PHEA-2 (871585.3),Acinetobacter calcoaceticus PHEA-2 ,871585,871585.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter pittii PHEA-2,
Acinetobacter calcoaceticus RUH2202 (575585.3),Acinetobacter calcoaceticus RUH2202 ,575585,575585.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus, Acinetobacter calcoaceticus RUH2202,
Acinetobacter calcoaceticus strain KCTC 2357 (471.18),Acinetobacter calcoaceticus strain KCTC 2357 ,471,471.18,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter calcoaceticus,,
Acinetobacter haemolyticus ATCC 19194 (707232.3),Acinetobacter haemolyticus ATCC 19194 ,707232,707232.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter haemolyticus, Acinetobacter haemolyticus ATCC 19194,
Acinetobacter haemolyticus CIP 64.3 (1217659.3),Acinetobacter haemolyticus CIP 64.3 ,1217659,1217659.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter haemolyticus, Acinetobacter haemolyticus CIP 64.3,
Acinetobacter haemolyticus NIPH 261 (1217986.3),Acinetobacter haemolyticus NIPH 261 ,1217986,1217986.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter haemolyticus, Acinetobacter haemolyticus NIPH 261,
Acinetobacter johnsonii ANC 3681 (1217662.4),Acinetobacter johnsonii ANC 3681 ,1217662,1217662.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter johnsonii, Acinetobacter johnsonii ANC 3681,
Acinetobacter johnsonii SH046 (575586.4),Acinetobacter johnsonii SH046 ,575586,575586.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter johnsonii, Acinetobacter johnsonii SH046,
Acinetobacter junii BEED01 (40215.71),Acinetobacter junii BEED01 ,40215,40215.71,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii BEED01,
Acinetobacter junii CIP 107470 (1217666.5),Acinetobacter junii CIP 107470 ,1217666,1217666.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii CIP 107470,
Acinetobacter junii NIPH 182 (1217665.3),Acinetobacter junii NIPH 182 ,1217665,1217665.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii NIPH 182,
Acinetobacter junii NIPH 182 (1217665.6),Acinetobacter junii NIPH 182 ,1217665,1217665.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii NIPH 182,
Acinetobacter junii SH205 (575587.3),Acinetobacter junii SH205 ,575587,575587.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii, Acinetobacter junii SH205,
Acinetobacter junii strain 65 (40215.38),Acinetobacter junii strain 65 ,40215,40215.38,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,
Acinetobacter junii strain lzh-X15 (40215.43),Acinetobacter junii strain lzh-X15 ,40215,40215.43,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,
Acinetobacter junii strain NCTC10307 (40215.64),Acinetobacter junii strain NCTC10307 ,40215,40215.64,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,
Acinetobacter junii strain NCTC12153 (40215.63),Acinetobacter junii strain NCTC12153 ,40215,40215.63,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter junii,,
Acinetobacter lwoffii NIPH 478 (1217668.3),Acinetobacter lwoffii NIPH 478 ,1217668,1217668.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii NIPH 478,
Acinetobacter lwoffii NIPH 715 (1217669.3),Acinetobacter lwoffii NIPH 715 ,1217669,1217669.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii NIPH 715,
Acinetobacter lwoffii SH145 (575588.3),Acinetobacter lwoffii SH145 ,575588,575588.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii SH145,
Acinetobacter lwoffii WJ10621 (1046625.3),Acinetobacter lwoffii WJ10621 ,1046625,1046625.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii WJ10621,
Acinetobacter nosocomialis NIPH 2119 (1217670.3),Acinetobacter nosocomialis NIPH 2119 ,1217670,1217670.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter nosocomialis, Acinetobacter nosocomialis NIPH 2119,
Acinetobacter pittii ANC 4050 (1217691.3),Acinetobacter pittii ANC 4050 ,1217691,1217691.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter pittii ANC 4050,
Acinetobacter pittii ANC 4052 (1217689.3),Acinetobacter pittii ANC 4052 ,1217689,1217689.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter pittii ANC 4052,
Acinetobacter pittii strain AP_882 (48296.83),Acinetobacter pittii strain AP_882 ,48296,48296.83,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii,,
Acinetobacter pittii strain IEC338SC (48296.84),Acinetobacter pittii strain IEC338SC ,48296,48296.84,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii,,
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.6),Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 ,981334,981334.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,
Acinetobacter radioresistens NIPH 2130 (1217674.3),Acinetobacter radioresistens NIPH 2130 ,1217674,1217674.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens NIPH 2130,
Acinetobacter radioresistens SH164 (575589.3),Acinetobacter radioresistens SH164 ,575589,575589.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens SH164,
Acinetobacter radioresistens SK82 (596318.3),Acinetobacter radioresistens SK82 ,596318,596318.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens SK82,
Acinetobacter sp. 6013113 (592014.3),Acinetobacter sp. 6013113 ,592014,592014.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 6013113,
Acinetobacter sp. 6013150 (525243.3),Acinetobacter sp. 6013150 ,525243,525243.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 6013150,
Acinetobacter sp. 6014059 (525242.3),Acinetobacter sp. 6014059 ,525242,525242.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 6014059,
Acinetobacter sp. ATCC 27244 (525244.5),Acinetobacter sp. ATCC 27244 ,525244,525244.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-, Acinetobacter sp. ATCC 27244,
Acinetobacter sp. RUH2624 (575564.3),Acinetobacter sp. RUH2624 ,575564,575564.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter nosocomialis, Acinetobacter sp. RUH2624,
Acinetobacter sp. SH024 (575565.3),Acinetobacter sp. SH024 ,575565,575565.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter sp. SH024,
Acinetobacter ursingii BEED03 (108980.40),Acinetobacter ursingii BEED03 ,108980,108980.40,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter ursingii, Acinetobacter ursingii BEED03,
Acinetobacter ursingii strain M3 (108980.39),Acinetobacter ursingii strain M3 ,108980,108980.39,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter ursingii,,
Acinetobacter ursingii strain UBA1533 (108980.15),Acinetobacter ursingii strain UBA1533 ,108980,108980.15,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter ursingii,,
Actinobacillus pleuropneumoniae L20 (416269.6),Actinobacillus pleuropneumoniae L20 ,416269,416269.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus, Actinobacillus pleuropneumoniae, Actinobacillus pleuropneumoniae serovar 5b str. L20,
Actinobacillus pleuropneumoniae S8 (1224142.3),Actinobacillus pleuropneumoniae S8 ,1224142,1224142.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus, Actinobacillus pleuropneumoniae, Actinobacillus pleuropneumoniae S8,
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5),Actinobacillus pleuropneumoniae serovar 1 str. 4074 ,228399,228399.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus, Actinobacillus pleuropneumoniae, Actinobacillus pleuropneumoniae serovar 1 str. 4074,
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4),Actinobacillus pleuropneumoniae serovar 3 str. JL03 ,434271,434271.4,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus, Actinobacillus pleuropneumoniae, Actinobacillus pleuropneumoniae serovar 3 str. JL03,
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7),Actinobacillus pleuropneumoniae serovar 6 str. Femo ,754256,754256.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus, Actinobacillus pleuropneumoniae, Actinobacillus pleuropneumoniae serovar 6 str. Femo,
Actinomyces georgiae DSM 6843 (1120942.4),Actinomyces georgiae DSM 6843 ,1120942,1120942.4,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces georgiae, Actinomyces georgiae DSM 6843,
Actinomyces graevenitzii C83 (435830.3),Actinomyces graevenitzii C83 ,435830,435830.3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces graevenitzii, Actinomyces graevenitzii C83,
Actinomyces naeslundii BEED02 (1655.82),Actinomyces naeslundii BEED02 ,1655,1655.82,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces naeslundii, Actinomyces naeslundii BEED02,
Actinomyces naeslundii str. Howell 279 (1115803.3),Actinomyces naeslundii str. Howell 279 ,1115803,1115803.3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces naeslundii, Actinomyces naeslundii str. Howell 279,
Actinomyces naeslundii strain ATCC 27039 (1655.52),Actinomyces naeslundii strain ATCC 27039 ,1655,1655.52,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces naeslundii,,
Actinomyces naeslundii strain MB-1 (1655.46),Actinomyces naeslundii strain MB-1 ,1655,1655.46,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces naeslundii,,
Actinomyces naeslundii strain NCTC 10301 (1655.49),Actinomyces naeslundii strain NCTC 10301 ,1655,1655.49,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces naeslundii,,
Actinomyces odontolyticus ATCC 17982 (411466.7),Actinomyces odontolyticus ATCC 17982 ,411466,411466.7,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces odontolyticus, Actinomyces odontolyticus ATCC 17982,
Actinomyces odontolyticus F0309 (649742.3),Actinomyces odontolyticus F0309 ,649742,649742.3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces odontolyticus, Actinomyces odontolyticus F0309,
Actinomyces odontolyticus LFYP35 (1660.10),Actinomyces odontolyticus LFYP35 ,1660,1660.10,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces odontolyticus, Actinomyces odontolyticus LFYP35,
Actinomyces odontolyticus strain XH001 (1660.4),Actinomyces odontolyticus strain XH001 ,1660,1660.4,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces odontolyticus,,
Actinomyces oris strain T14V (544580.10),Actinomyces oris strain T14V ,544580,544580.10,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces, Actinomyces oris,,
